,Bail Status,Days in Court,Offence Location,Date,Proceeding,Court,Offence Number,Offence,Election,Discharge Available,SS Available,CSO Available,Maximum (Summary)(Years),Maximum (Indictable)(Years),Has Lawyer,Not in Custody,Custody Unknown,Is In Custody,Abbotsford,New Westminster,North Vancouver,Port Coquitlam,Richmond,Surrey,Vancouver,Victoria
0,6.0,100,Mission BC,2023-03-22,JIR,001,811,Breach of Recognizance,1,0,0,0,2,2,1,0,0,1,1,0,0,0,0,0,0,0
1,6.0,145,Abbotsford BC,2023-03-22,ARB,001,733.1 1,Breach of Probation,1,0,0,0,2,2,1,1,0,0,1,0,0,0,0,0,0,0
2,6.0,130,Abbotsford BC,2023-03-22,ARB,001,266,Assault,1,0,0,0,2,5,1,1,0,0,1,0,0,0,0,0,0,0
3,2.0,104,Mission BC,2023-03-22,JIR,001,266,Assault,1,0,0,0,2,5,1,0,0,1,1,0,0,0,0,0,0,0
4,3.0,391,Mission BC,2023-03-22,JIR,001,5 2,PPT,1,0,0,0,2,25,1,0,0,1,1,0,0,0,0,0,0,0
5,,114,Abbotsford BC,2023-03-22,APP,001,742.6,Breach of Probation,1,0,0,0,2,2,1,0,1,0,1,0,0,0,0,0,0,0
6,2.0,228,Abbotsford BC,2023-03-22,APW,001,733.1 1,Breach of Probation,1,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0
7,0.0,510,Abbotsford BC,2023-03-22,IGP,001,234 1,DWP,0,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0
8,0.0,286,Abbotsford BC,2023-03-22,IGP,001,320.14 1 a,Driving Impaired,1,0,0,0,2,5,1,1,0,0,1,0,0,0,0,0,0,0
9,2.0,188,Mission BC,2023-03-22,DSP,001,334 b,"Theft under $5,000",1,0,0,0,2,2,1,1,0,0,1,0,0,0,0,0,0,0
10,2.0,188,Mission BC,2023-03-22,DSP,001,334 b,"Theft under $5,000",1,0,0,0,2,2,1,1,0,0,1,0,0,0,0,0,0,0
11,6.0,50,Mission BC,2023-03-22,DSP,001,334 b,"Theft under $5,000",1,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0
12,2.0,940,Abbotsford BC,2023-03-22,DSP,001,95 1,DWP,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0
13,2.0,770,Abbotsford BC,2023-03-22,FXD,001,5 2,PPT,1,0,0,0,2,25,1,1,0,0,1,0,0,0,0,0,0,0
14,0.0,384,Abbotsford BC,2023-03-22,IGP,001,95 1,DWP,0,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0
15,3.0,457,Abbotsford BC,2023-03-22,APP,001,264.1 1,Utt Threats,1,0,0,0,2,5,1,1,0,0,1,0,0,0,0,0,0,0
16,3.0,399,Abbotsford BC,2023-03-22,APP,001,145 5 a,Fail to comply with Order,1,0,0,0,2,2,1,1,0,0,1,0,0,0,0,0,0,0
17,2.0,601,Mission BC,2023-03-22,DSP,001,95 1,DWP,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0
18,0.0,132,Mission BC,2023-03-22,DSP,001,95 1,DWP,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0
19,2.0,411,Abbotsford BC,2023-03-22,JIR,001,266,Assault,1,0,0,0,2,5,1,0,0,1,1,0,0,0,0,0,0,0
20,2.0,411,Abbotsford BC,2023-03-22,JIR,002,267 a,Assault w/ weapon,1,0,0,0,2,10,1,0,0,1,1,0,0,0,0,0,0,0
21,2.0,243,Abbotsford BC,2023-03-22,JIR,001,334 b,"Theft under $5,000",1,0,0,0,2,2,1,0,0,1,1,0,0,0,0,0,0,0
22,2.0,329,Mission BC,2023-03-22,JIR,001,95 1,DWP,0,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0
23,2.0,329,Mission BC,2023-03-22,JIR,001,5 2,PPT,1,0,0,0,2,25,1,0,0,1,1,0,0,0,0,0,0,0
24,2.0,154,Mission BC,2023-03-22,CLC,001,430 4,Mischief,1,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0
25,8.0,236,New Westminster BC,2023-03-22,IGP,001,145 5 a,Fail to comply with Order,1,0,0,0,2,2,1,0,0,1,1,0,0,0,0,0,0,0
26,,214,New Westminster BC,2023-03-22,IGP,001,95 1,DWP,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0
27,,640,Abbotsford BC,2023-03-22,FXD,001,270.01 1 a,Assault PO w/weapon,1,0,0,0,2,10,1,0,0,1,1,0,0,0,0,0,0,0
28,8.0,640,Abbotsford BC,2023-03-22,FXD,001,733.1 1,Breach of Probation,1,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0
29,2.0,331,Abbotsford BC,2023-03-22,ARB,001,91 1,Unauthorized possession of firearm,1,0,0,0,2,5,1,1,0,0,1,0,0,0,0,0,0,0
30,2.0,331,Abbotsford BC,2023-03-22,ARB,002,90 1,Carrying concealed weapon,1,0,0,0,2,5,1,1,0,0,1,0,0,0,0,0,0,0
31,2.0,330,Abbotsford BC,2023-03-22,ARB,001,268 2,Agg assault,3,0,0,0,5,14,1,1,0,0,1,0,0,0,0,0,0,0
32,6.0,32,Surrey BC,2023-03-22,JIR,001,145 5 a,Fail to comply with Order,1,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0
33,6.0,8,Abbotsford BC,2023-03-22,JIR,001,117.01 1,Possess firearm/weapon while prohibited,1,0,0,0,2,10,0,0,0,1,1,0,0,0,0,0,0,0
34,0.0,8,Chilliwack BC,2023-03-22,ARB,001,5 2,PPT,1,0,0,0,2,25,0,1,0,0,1,0,0,0,0,0,0,0
35,0.0,8,Abbotsford BC,2023-03-22,ARB,004,320.17,Flight from police,1,0,0,0,2,5,0,1,0,0,1,0,0,0,0,0,0,0
36,6.0,8,Abbotsford BC,2023-03-22,JIR,001,5 2,PPT,1,0,0,0,2,25,0,0,0,1,1,0,0,0,0,0,0,0
37,6.0,146,Mission BC,2023-03-22,JIR,001,344 1 b,Robbery (with firearm),3,1,1,1,5,25,0,0,0,1,1,0,0,0,0,0,0,0
38,6.0,7,Mission BC,2023-03-22,JIR,001,267 c,Assault by choking,1,0,0,0,2,10,0,0,0,1,1,0,0,0,0,0,0,0
39,6.0,85,Richmond BC,2023-03-22,CTD,001,430 4,Mischief,1,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0
40,6.0,85,Abbotsford BC,2023-03-22,CTD,001,430,Mischief,1,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0
41,6.0,85,Abbotsford BC,2023-03-22,CTD,001,348 1 a,Break and enter with intent (not dwelling),1,0,0,0,2,10,0,0,0,1,1,0,0,0,0,0,0,0
42,6.0,85,Surrey BC,2023-03-22,CTD,001,430 4,Mischief,1,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0
43,6.0,21,Langley BC,2023-03-22,CTD,001,430 4 b,Mischief,1,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0
44,2.0,545,Mission BC,2023-03-22,JIR,001,86 1,Unsafe storage of a firearm,1,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0
45,2.0,545,Mission BC,2023-03-22,JIR,002,117.01 1,Possess firearm/weapon while prohibited,1,0,0,0,2,10,0,0,0,1,1,0,0,0,0,0,0,0
46,2.0,194,Abbotsford BC,2023-03-22,FXD,001,333.1 1,Theft of motor vehicle,1,0,0,0,2,10,1,0,0,1,1,0,0,0,0,0,0,0
47,6.0,96,Abbotsford BC,2023-03-22,FXD,001,355 a,PSP Over,1,0,0,0,2,10,0,0,0,1,1,0,0,0,0,0,0,0
